Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2022-12-01,F (Jan 2023),0.0000,0.0000,0.0000,0.0000,23.65,0,0,0,0
2022-12-02,F (Jan 2023),0.0000,0.0000,0.0000,0.0000,23.00,-0.65,0,0,0
2022-12-05,F (Jan 2023),0.0000,0.0000,0.0000,0.0000,23.725,0.725,0,0,0
2022-12-06,F (Jan 2023),0.0000,0.0000,0.0000,0.0000,24.10,0.375,0,0,0
2022-12-07,F (Jan 2023),0.0000,0.0000,0.0000,0.0000,25.875,1.775,0,0,0
2022-12-08,F (Jan 2023),0.0000,20.0000,30.1500,0.0000,25.075,-0.800,0,0,0
2022-12-09,F (Jan 2023),0.0000,20.0000,30.1500,0.0000,25.075,0.000,0,0,0
2022-12-12,F (Jan 2023),0.0000,23.0000,27.7000,0.0000,25.35,0.275,0,0,0
2022-12-13,F (Jan 2023),0.0000,0.0000,0.0000,0.0000,24.50,-0.85,0,0,0
2022-12-14,F (Jan 2023),0.0000,23.7000,23.5000,0.0000,23.30,-1.20,0,0,0
2022-12-15,F (Jan 2023),0.0000,24.7500,23.9000,0.0000,24.70,1.40,0,0,0
2022-12-16,F (Jan 2023),0.0000,25.0500,24.7500,0.0000,24.70,0.00,0,0,0
2022-12-19,F (Jan 2023),0.0000,24.3500,24.1000,0.0000,24.125,-0.575,0,0,0
2022-12-20,F (Jan 2023),0.0000,24.3500,24.0000,0.0000,23.80,-0.325,0,0,0
2022-12-21,F (Jan 2023),0.0000,23.3000,23.2000,0.0000,23.10,-0.70,0,0,0
2022-12-22,F (Jan 2023),0.0000,25.4000,23.2000,0.0000,24.425,1.325,0,0,0
2022-12-23,F (Jan 2023),0.0000,24.1000,24.0500,0.0000,23.825,-0.600,0,0,0
2022-12-27,F (Jan 2023),0.0000,23.9500,23.9500,0.0000,23.90,0.075,0,0,0
2022-12-28,F (Jan 2023),0.0000,23.6000,23.5000,0.0000,23.90,0.00,0,0,0
2022-12-29,F (Jan 2023),0.0000,23.3000,23.4000,0.0000,23.275,-0.625,0,0,0
2022-12-30,F (Jan 2023),0.0000,23.4500,23.5500,0.0000,23.375,0.100,0,0,0
2023-01-03,F (Jan 2023),0.0000,23.3500,23.4000,0.0000,23.025,-0.350,0,0,0
2023-01-04,F (Jan 2023),0.0000,22.4000,22.7500,0.0000,22.175,-0.850,0,0,0
2023-01-05,F (Jan 2023),0.0000,22.4500,22.5500,0.0000,22.40,0.225,0,0,0
2023-01-06,F (Jan 2023),0.0000,22.0500,22.0000,0.0000,21.625,-0.775,0,0,0
2023-01-09,F (Jan 2023),0.0000,21.5500,21.6000,0.0000,21.725,0.100,0,0,0
2023-01-10,F (Jan 2023),21.0000,21.6500,20.6500,20.6500,20.625,-1.100,5,0,5
2023-01-11,F (Jan 2023),0.0000,20.4500,21.2000,0.0000,20.81,0.185,0,0,5
