Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2022-08-11,U (Sep 2022),0.0000,0.0000,0.0000,0.0000,23.8495,0,0,0,0
2022-08-12,U (Sep 2022),0.0000,0.0000,0.0000,0.0000,23.6234,-0.2261,0,0,0
2022-08-15,U (Sep 2022),0.0000,0.0000,0.0000,0.0000,23.2003,-0.4231,0,0,0
2022-08-16,U (Sep 2022),0.0000,0.0000,0.0000,0.0000,23.4392,0.2389,0,0,0
2022-08-17,U (Sep 2022),0.0000,0.0000,0.0000,0.0000,23.2813,-0.1579,0,0,0
2022-08-18,U (Sep 2022),0.0000,0.0000,0.0000,0.0000,22.9999,-0.2814,0,0,0
2022-08-19,U (Sep 2022),0.0000,0.0000,0.0000,0.0000,24.1028,1.1029,0,0,0
2022-08-22,U (Sep 2022),0.0000,0.0000,0.0000,0.0000,25.8208,1.7180,0,0,0
2022-08-23,U (Sep 2022),0.0000,0.0000,0.0000,0.0000,25.3302,-0.4906,0,0,0
2022-08-24,U (Sep 2022),0.0000,0.0000,0.0000,0.0000,24.3501,-0.9801,0,0,0
2022-08-25,U (Sep 2022),0.0000,23.6000,25.4000,0.0000,24.50,0.1499,0,0,0
2022-08-26,U (Sep 2022),0.0000,0.0000,0.0000,0.0000,26.1802,1.6802,0,0,0
2022-08-29,U (Sep 2022),0.0000,0.0000,0.0000,0.0000,26.0278,-0.1524,0,0,0
2022-08-30,U (Sep 2022),0.0000,0.0000,0.0000,0.0000,26.4608,0.4330,0,0,0
2022-08-31,U (Sep 2022),0.0000,26.0000,25.9000,0.0000,25.85,-0.6108,0,0,0
2022-09-01,U (Sep 2022),26.5500,26.8000,25.8000,25.8000,25.70,-0.15,30,0,30
2022-09-02,U (Sep 2022),0.0000,25.9500,24.7000,0.0000,26.025,0.325,0,0,30
2022-09-06,U (Sep 2022),0.0000,26.4000,25.4500,0.0000,26.60,0.575,0,0,30
2022-09-07,U (Sep 2022),0.0000,26.6500,25.1000,0.0000,24.85,-1.75,0,0,30
2022-09-08,U (Sep 2022),0.0000,25.1500,24.5500,0.0000,24.475,-0.375,0,0,30
2022-09-09,U (Sep 2022),0.0000,24.1000,24.0000,0.0000,24.025,-0.450,0,0,30
2022-09-12,U (Sep 2022),24.0000,24.1000,23.5500,24.0000,24.00,-0.025,1,0,30
2022-09-13,U (Sep 2022),26.5000,26.5000,23.9500,26.5000,26.525,2.525,1,0,30
2022-09-14,U (Sep 2022),0.0000,26.5500,26.4000,0.0000,26.35,-0.175,0,0,30
2022-09-15,U (Sep 2022),0.0000,26.1000,25.7500,0.0000,26.225,-0.125,0,0,30
2022-09-16,U (Sep 2022),26.8000,27.3000,26.3500,26.8000,26.225,0.000,1,0,30
2022-09-19,U (Sep 2022),0.0000,26.6500,25.5000,0.0000,25.50,-0.725,0,0,30
2022-09-20,U (Sep 2022),0.0000,26.3500,25.7000,0.0000,26.30,0.80,0,0,30
2022-09-21,U (Sep 2022),0.0000,27.4000,25.9500,0.0000,27.90,1.60,0,0,30
2022-09-22,U (Sep 2022),0.0000,28.0000,27.5500,0.0000,28.075,0.175,0,0,30
2022-09-23,U (Sep 2022),0.0000,31.7500,28.2500,0.0000,30.45,2.375,0,0,30
2022-09-26,U (Sep 2022),30.8000,32.1000,30.0000,30.2000,31.95,1.50,3,0,31
2022-09-27,U (Sep 2022),33.3000,33.7500,30.7000,33.3000,32.85,0.90,14,0,40
2022-09-28,U (Sep 2022),0.0000,34.4000,33.1000,0.0000,32.92,0.07,0,0,40
