Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2023-03-09,J (Apr 2023),0.0000,0.0000,0.0000,0.0000,22.4264,0,0,0,0
2023-03-10,J (Apr 2023),0.0000,2.4500,0.0000,0.0000,24.7848,2.3584,0,0,0
2023-03-13,J (Apr 2023),0.0000,2.4500,0.0000,0.0000,25.5333,0.7485,0,0,0
2023-03-14,J (Apr 2023),0.0000,2.4500,0.0000,0.0000,23.9083,-1.6250,0,0,0
2023-03-15,J (Apr 2023),0.0000,2.4500,0.0000,0.0000,25.8726,1.9643,0,0,0
2023-03-16,J (Apr 2023),0.0000,2.4500,0.0000,0.0000,23.5506,-2.3220,0,0,0
2023-03-17,J (Apr 2023),0.0000,2.4500,0.0000,0.0000,26.1463,2.5957,0,0,0
2023-03-20,J (Apr 2023),0.0000,2.4500,0.0000,0.0000,24.942,-1.2043,0,0,0
2023-03-21,J (Apr 2023),0.0000,2.4500,0.0000,0.0000,22.7699,-2.1721,0,0,0
2023-03-22,J (Apr 2023),0.0000,2.4500,0.0000,0.0000,23.50,0.7301,0,0,0
2023-03-23,J (Apr 2023),0.0000,20.0000,26.2500,0.0000,23.125,-0.375,0,0,0
2023-03-24,J (Apr 2023),0.0000,20.1500,25.1500,0.0000,23.2241,0.0991,0,0,0
2023-03-27,J (Apr 2023),0.0000,22.5500,23.8500,0.0000,23.15,-0.0741,0,0,0
2023-03-28,J (Apr 2023),23.4500,23.4500,22.9000,23.4500,22.825,-0.325,1,0,1
2023-03-29,J (Apr 2023),0.0000,21.8000,22.0500,0.0000,21.70,-1.125,0,0,1
2023-03-30,J (Apr 2023),0.0000,22.0000,22.1500,0.0000,22.075,0.375,0,0,1
2023-03-31,J (Apr 2023),21.0000,21.6500,21.0000,21.0000,21.775,-0.300,1,0,0
2023-04-03,J (Apr 2023),0.0000,22.2500,22.0000,0.0000,21.275,-0.500,0,0,0
2023-04-04,J (Apr 2023),0.0000,21.6500,21.8500,0.0000,21.70,0.425,0,0,0
2023-04-05,J (Apr 2023),0.0000,21.7000,22.4000,0.0000,21.95,0.25,0,0,0
2023-04-06,J (Apr 2023),0.0000,21.3000,21.7500,0.0000,21.125,-0.825,0,0,0
2023-04-10,J (Apr 2023),0.0000,20.9500,21.7000,0.0000,21.05,-0.075,0,0,0
2023-04-11,J (Apr 2023),0.0000,20.4000,20.9500,0.0000,20.875,-0.175,0,0,0
2023-04-12,J (Apr 2023),20.0000,20.6500,20.0000,20.0000,20.925,0.050,1,0,1
2023-04-13,J (Apr 2023),0.0000,20.2500,20.4000,0.0000,19.80,-1.125,0,0,1
2023-04-14,J (Apr 2023),0.0000,19.6000,19.9000,0.0000,19.425,-0.375,0,0,1
2023-04-17,J (Apr 2023),0.0000,18.9000,19.2000,0.0000,18.70,-0.725,0,0,1
2023-04-18,J (Apr 2023),17.9000,18.3000,17.8500,17.8500,17.825,-0.875,2,0,1
2023-04-19,J (Apr 2023),18.1000,18.4000,17.9500,18.2000,18.125,0.300,22,0,23
2023-04-20,J (Apr 2023),17.9500,18.6000,17.9500,17.9500,18.65,0.525,1,0,23
2023-04-21,J (Apr 2023),17.4000,18.5000,17.4000,18.4000,18.15,-0.50,2,0,23
2023-04-24,J (Apr 2023),0.0000,18.3000,17.8500,0.0000,17.40,-0.75,0,0,23
2023-04-25,J (Apr 2023),19.1000,19.8000,18.4000,19.1000,19.70,2.30,1,0,23
2023-04-26,J (Apr 2023),0.0000,18.9000,19.2000,0.0000,18.86,-0.84,0,0,23
