Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2024-04-11,K (May 2024),0.0000,0.0000,0.0000,0.0000,15.8992,0,0,0,0
2024-04-12,K (May 2024),0.0000,0.0000,0.0000,0.0000,17.1165,1.2173,0,0,0
2024-04-15,K (May 2024),0.0000,18.5000,0.0000,0.0000,18.0133,0.8968,0,0,0
2024-04-16,K (May 2024),0.0000,0.0000,0.0000,0.0000,17.4557,-0.5576,0,0,0
2024-04-17,K (May 2024),0.0000,0.0000,0.0000,0.0000,17.2093,-0.2464,0,0,0
2024-04-18,K (May 2024),0.0000,0.0000,0.0000,0.0000,17.3829,0.1736,0,0,0
2024-04-19,K (May 2024),0.0000,17.8500,0.0000,0.0000,17.8354,0.4525,0,0,0
2024-04-22,K (May 2024),0.0000,0.0000,0.0000,0.0000,16.4697,-1.3657,0,0,0
2024-04-23,K (May 2024),0.0000,0.0000,0.0000,0.0000,15.7943,-0.6754,0,0,0
2024-04-24,K (May 2024),0.0000,0.0000,0.0000,0.0000,15.6252,-0.1691,0,0,0
2024-04-25,K (May 2024),17.2500,17.2500,16.3500,16.3500,16.525,0.8998,4,0,2
2024-04-26,K (May 2024),0.0000,15.5000,16.5500,0.0000,16.025,-0.500,0,0,2
2024-04-29,K (May 2024),0.0000,15.3000,16.2000,0.0000,15.75,-0.275,0,0,2
2024-04-30,K (May 2024),0.0000,15.9500,16.2000,0.0000,16.075,0.325,0,0,2
2024-05-01,K (May 2024),16.1000,16.1000,16.1000,16.1000,15.90,-0.175,1,0,1
2024-05-02,K (May 2024),0.0000,15.3000,17.0000,0.0000,16.05,0.15,0,0,1
2024-05-03,K (May 2024),0.0000,14.9000,15.7500,0.0000,15.325,-0.725,0,0,1
2024-05-06,K (May 2024),0.0000,14.5000,16.0000,0.0000,15.25,-0.075,0,0,1
2024-05-07,K (May 2024),0.0000,14.5000,15.6500,0.0000,15.075,-0.175,0,0,1
2024-05-08,K (May 2024),15.0000,15.0000,15.0000,15.0000,14.625,-0.450,1,0,2
2024-05-09,K (May 2024),0.0000,14.5000,14.9500,0.0000,14.65,0.025,0,0,2
2024-05-10,K (May 2024),0.0000,14.1500,15.0500,0.0000,14.60,-0.05,0,0,2
2024-05-13,K (May 2024),0.0000,14.1000,15.1500,0.0000,14.625,0.025,0,0,2
2024-05-14,K (May 2024),0.0000,14.0000,14.3000,0.0000,14.075,-0.550,0,0,2
2024-05-15,K (May 2024),0.0000,13.5000,13.8000,0.0000,13.625,-0.450,0,0,2
2024-05-16,K (May 2024),0.0000,13.5000,13.9500,0.0000,13.725,0.100,0,0,2
2024-05-17,K (May 2024),0.0000,13.1500,14.0000,0.0000,13.575,-0.150,0,0,2
2024-05-20,K (May 2024),13.1000,13.3000,13.1000,13.1000,13.35,-0.225,73,0,73
2024-05-21,K (May 2024),0.0000,13.1500,13.3500,0.0000,13.25,-0.10,0,0,73
2024-05-22,K (May 2024),13.3500,13.3500,13.2000,13.2000,13.225,-0.025,2,0,74
2024-05-23,K (May 2024),0.0000,13.3500,13.1000,0.0000,13.575,0.350,0,0,74
2024-05-24,K (May 2024),0.0000,12.5000,13.5000,0.0000,13.00,-0.575,0,0,74
2024-05-28,K (May 2024),12.5000,13.1000,12.5000,13.1000,13.125,0.125,4,0,73
2024-05-29,K (May 2024),0.0000,6.0500,0.0000,0.0000,14.21,1.085,0,0,73
