Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2022-11-10,Z (Dec 2022),0.0000,0.0000,0.0000,0.0000,25.6828,0,0,0,0
2022-11-11,Z (Dec 2022),0.0000,0.0000,0.0000,0.0000,25.4502,-0.2326,0,0,0
2022-11-14,Z (Dec 2022),0.0000,0.0000,0.0000,0.0000,25.3841,-0.0661,0,0,0
2022-11-15,Z (Dec 2022),0.0000,0.0000,0.0000,0.0000,25.75,0.3659,0,0,0
2022-11-16,Z (Dec 2022),0.0000,0.0000,0.0000,0.0000,25.0542,-0.6958,0,0,0
2022-11-17,Z (Dec 2022),0.0000,0.0000,0.0000,0.0000,24.7666,-0.2876,0,0,0
2022-11-18,Z (Dec 2022),0.0000,0.0000,0.0000,0.0000,24.515,-0.2516,0,0,0
2022-11-21,Z (Dec 2022),0.0000,2.5000,0.0000,0.0000,23.8139,-0.7011,0,0,0
2022-11-22,Z (Dec 2022),0.0000,23.6500,25.1500,0.0000,22.9505,-0.8634,0,0,0
2022-11-23,Z (Dec 2022),0.0000,22.9500,0.0000,0.0000,22.4026,-0.5479,0,0,0
2022-11-25,Z (Dec 2022),0.0000,20.5500,25.5500,0.0000,23.05,0.6474,0,0,0
2022-11-28,Z (Dec 2022),0.0000,22.3500,26.7000,0.0000,24.65,1.60,0,0,0
2022-11-29,Z (Dec 2022),0.0000,22.0000,27.0000,0.0000,24.50,-0.15,0,0,0
2022-11-30,Z (Dec 2022),24.6000,24.6000,23.6000,24.2500,23.375,-1.125,2,0,0
2022-12-01,Z (Dec 2022),23.9000,23.9000,23.2500,23.9000,22.85,-0.525,1,0,1
2022-12-02,Z (Dec 2022),0.0000,23.0500,22.7500,0.0000,22.50,-0.35,0,0,1
2022-12-05,Z (Dec 2022),0.0000,22.9500,22.9500,0.0000,23.00,0.50,0,0,1
2022-12-06,Z (Dec 2022),23.3000,23.5000,23.1500,23.3000,23.65,0.65,1,0,2
2022-12-07,Z (Dec 2022),23.9000,24.0000,23.9000,23.9000,24.075,0.425,2,0,2
2022-12-08,Z (Dec 2022),0.0000,23.8500,23.9500,0.0000,23.625,-0.450,0,0,2
2022-12-09,Z (Dec 2022),0.0000,23.8500,23.7500,0.0000,24.225,0.600,0,0,2
2022-12-12,Z (Dec 2022),0.0000,23.8000,24.3000,0.0000,24.025,-0.200,0,0,2
2022-12-13,Z (Dec 2022),23.0500,23.8500,22.9500,22.9500,22.725,-1.300,2,0,3
2022-12-14,Z (Dec 2022),0.0000,22.6000,22.1000,0.0000,21.80,-0.925,0,0,3
2022-12-15,Z (Dec 2022),0.0000,23.3500,22.7000,0.0000,23.325,1.525,0,0,3
2022-12-16,Z (Dec 2022),0.0000,23.6000,23.4500,0.0000,23.45,0.125,0,0,3
2022-12-19,Z (Dec 2022),0.0000,23.0500,23.1000,0.0000,23.125,-0.325,0,0,3
2022-12-20,Z (Dec 2022),0.0000,23.1500,22.8500,0.0000,22.425,-0.700,0,0,3
2022-12-21,Z (Dec 2022),21.9500,21.9500,21.7000,21.9500,21.45,-0.975,2,0,4
2022-12-22,Z (Dec 2022),0.0000,24.3000,21.7000,0.0000,22.875,1.425,0,0,4
2022-12-23,Z (Dec 2022),0.0000,22.6000,22.4500,0.0000,22.075,-0.800,0,0,4
2022-12-27,Z (Dec 2022),0.0000,22.4500,22.2000,0.0000,21.975,-0.100,0,0,4
2022-12-28,Z (Dec 2022),0.0000,21.4000,22.0500,0.0000,21.76,-0.215,0,0,4
