Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2024-03-28,K (May 2024),0.0000,5.3500,22.2000,0.0000,14.925,0,0,0,0
2024-04-01,K (May 2024),0.0000,0.0000,0.0000,0.0000,15.25,0.325,0,0,0
2024-04-02,K (May 2024),0.0000,0.0000,0.0000,0.0000,15.625,0.375,0,0,0
2024-04-03,K (May 2024),0.0000,0.0000,0.0000,0.0000,15.50,-0.125,0,0,0
2024-04-04,K (May 2024),0.0000,16.1500,15.5000,0.0000,16.20,0.70,0,0,0
2024-04-05,K (May 2024),16.0000,16.2000,16.0000,16.0000,16.40,0.20,1,0,1
2024-04-08,K (May 2024),0.0000,15.0000,16.7000,0.0000,15.925,-0.475,0,0,1
2024-04-09,K (May 2024),0.0000,15.4500,16.2000,0.0000,15.825,-0.100,0,0,1
2024-04-10,K (May 2024),0.0000,15.7000,16.6500,0.0000,16.225,0.400,0,0,1
2024-04-11,K (May 2024),0.0000,15.9500,16.1000,0.0000,15.825,-0.400,0,0,1
2024-04-12,K (May 2024),17.4000,17.4000,16.8500,17.1500,17.15,1.325,3,0,4
2024-04-15,K (May 2024),18.4000,18.4000,17.0000,18.4000,17.90,0.75,1,0,4
2024-04-16,K (May 2024),0.0000,17.2500,17.5500,0.0000,17.275,-0.625,0,0,4
2024-04-17,K (May 2024),17.3000,17.3000,17.3000,17.3000,17.325,0.050,1,0,5
2024-04-18,K (May 2024),16.9500,17.3000,16.9500,16.9500,17.475,0.150,1,0,5
2024-04-19,K (May 2024),0.0000,17.9000,18.3500,0.0000,18.20,0.725,0,0,5
2024-04-22,K (May 2024),16.5000,16.9000,16.5000,16.5000,16.60,-1.60,1,0,5
2024-04-23,K (May 2024),0.0000,15.9500,16.1000,0.0000,15.925,-0.675,0,0,5
2024-04-24,K (May 2024),0.0000,15.9500,15.9000,0.0000,16.00,0.075,0,0,5
2024-04-25,K (May 2024),15.8500,15.8500,15.8500,15.8500,16.10,0.10,1,0,6
2024-04-26,K (May 2024),0.0000,15.3000,15.5500,0.0000,15.425,-0.675,0,0,6
2024-04-29,K (May 2024),0.0000,14.8000,15.4500,0.0000,15.225,-0.200,0,0,6
2024-04-30,K (May 2024),0.0000,15.4000,15.5500,0.0000,15.65,0.425,0,0,6
2024-05-01,K (May 2024),15.5500,15.5500,15.0500,15.0500,15.55,-0.10,2,0,7
2024-05-02,K (May 2024),0.0000,14.9500,15.6000,0.0000,15.275,-0.275,0,0,7
2024-05-03,K (May 2024),0.0000,14.4000,14.6500,0.0000,14.475,-0.800,0,0,7
2024-05-06,K (May 2024),0.0000,13.7500,14.3500,0.0000,14.05,-0.425,0,0,7
2024-05-07,K (May 2024),13.6500,13.6500,13.6500,13.6500,13.55,-0.50,1,0,6
2024-05-08,K (May 2024),0.0000,6.5000,0.0000,0.0000,13.43,-0.12,0,0,6
