Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2023-07-06,Q (Aug 2023),0.0000,0.0000,0.0000,0.0000,17.2288,0,0,0,0
2023-07-07,Q (Aug 2023),0.0000,0.0000,0.0000,0.0000,16.8278,-0.4010,0,0,0
2023-07-10,Q (Aug 2023),0.0000,0.0000,0.0000,0.0000,16.6988,-0.1290,0,0,0
2023-07-11,Q (Aug 2023),0.0000,0.0000,0.0000,0.0000,16.5759,-0.1229,0,0,0
2023-07-12,Q (Aug 2023),0.0000,0.0000,0.0000,0.0000,15.7668,-0.8091,0,0,0
2023-07-13,Q (Aug 2023),0.0000,0.0000,0.0000,0.0000,15.9364,0.1696,0,0,0
2023-07-14,Q (Aug 2023),0.0000,0.0000,0.0000,0.0000,15.7526,-0.1838,0,0,0
2023-07-17,Q (Aug 2023),0.0000,0.0000,0.0000,0.0000,15.7475,-0.0051,0,0,0
2023-07-18,Q (Aug 2023),0.0000,0.0000,0.0000,0.0000,15.5365,-0.2110,0,0,0
2023-07-19,Q (Aug 2023),0.0000,0.0000,0.0000,0.0000,15.905,0.3685,0,0,0
2023-07-20,Q (Aug 2023),0.0000,15.0000,17.8500,0.0000,16.825,0.920,0,0,0
2023-07-21,Q (Aug 2023),0.0000,16.0000,17.5000,0.0000,16.75,-0.075,0,0,0
2023-07-24,Q (Aug 2023),0.0000,3.5000,0.0000,0.0000,15.3804,-1.3696,0,0,0
2023-07-25,Q (Aug 2023),0.0000,3.5000,0.0000,0.0000,15.3462,-0.0342,0,0,0
2023-07-26,Q (Aug 2023),0.0000,3.5000,0.0000,0.0000,14.8878,-0.4584,0,0,0
2023-07-27,Q (Aug 2023),0.0000,3.5000,0.0000,0.0000,15.6879,0.8001,0,0,0
2023-07-28,Q (Aug 2023),0.0000,13.3000,18.1500,0.0000,15.80,0.1121,0,0,0
2023-07-31,Q (Aug 2023),0.0000,3.5000,0.0000,0.0000,14.8634,-0.9366,0,0,0
2023-08-01,Q (Aug 2023),0.0000,15.4000,16.2000,0.0000,15.70,0.8366,0,0,0
2023-08-02,Q (Aug 2023),0.0000,16.9500,16.8000,0.0000,17.075,1.375,0,0,0
2023-08-03,Q (Aug 2023),0.0000,17.2500,17.1500,0.0000,16.925,-0.150,0,0,0
2023-08-04,Q (Aug 2023),0.0000,17.1000,16.4500,0.0000,17.625,0.700,0,0,0
2023-08-07,Q (Aug 2023),0.0000,17.1500,17.1000,0.0000,16.85,-0.775,0,0,0
2023-08-08,Q (Aug 2023),0.0000,18.0000,17.2500,0.0000,17.10,0.25,0,0,0
2023-08-09,Q (Aug 2023),17.0000,17.0000,16.7500,17.0000,16.925,-0.175,1,0,1
2023-08-10,Q (Aug 2023),17.1500,17.1500,16.0000,17.1500,16.475,-0.450,1,0,1
2023-08-11,Q (Aug 2023),0.0000,16.4000,16.4000,0.0000,15.975,-0.500,0,0,1
2023-08-14,Q (Aug 2023),0.0000,15.8000,16.0000,0.0000,15.60,-0.375,0,0,1
2023-08-15,Q (Aug 2023),0.0000,16.3500,15.9000,0.0000,16.65,1.05,0,0,1
2023-08-16,Q (Aug 2023),16.7500,17.2000,16.7000,16.7000,17.55,0.90,37,0,38
2023-08-17,Q (Aug 2023),18.0000,18.3000,17.6000,18.0000,18.675,1.125,1,0,39
2023-08-18,Q (Aug 2023),0.0000,19.0000,18.3000,0.0000,18.125,-0.550,0,0,39
2023-08-21,Q (Aug 2023),0.0000,17.5500,17.4500,0.0000,17.125,-1.000,0,0,39
2023-08-22,Q (Aug 2023),0.0000,17.0000,17.0000,0.0000,17.10,-0.025,0,0,39
2023-08-23,Q (Aug 2023),0.0000,16.5000,17.0000,0.0000,17.06,-0.04,0,0,39
