Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2022-12-29,G (Feb 2023),0.0000,0.0000,0.0000,0.0000,23.50,0,0,0,0
2022-12-30,G (Feb 2023),0.0000,0.0000,0.0000,0.0000,23.50,0.00,0,0,0
2023-01-03,G (Feb 2023),0.0000,2.0000,0.0000,0.0000,23.35,-0.15,0,0,0
2023-01-04,G (Feb 2023),0.0000,23.2000,23.3000,0.0000,23.25,-0.10,0,0,0
2023-01-05,G (Feb 2023),0.0000,23.2500,23.1000,0.0000,23.175,-0.075,0,0,0
2023-01-06,G (Feb 2023),0.0000,22.9500,22.5500,0.0000,22.65,-0.525,0,0,0
2023-01-09,G (Feb 2023),0.0000,22.7000,22.7000,0.0000,22.80,0.15,0,0,0
2023-01-10,G (Feb 2023),0.0000,22.8500,21.5500,0.0000,21.75,-1.05,0,0,0
2023-01-11,G (Feb 2023),0.0000,21.7000,21.9500,0.0000,21.85,0.10,0,0,0
2023-01-12,G (Feb 2023),0.0000,21.5500,20.8500,0.0000,20.60,-1.25,0,0,0
2023-01-13,G (Feb 2023),0.0000,20.6000,20.3500,0.0000,20.275,-0.325,0,0,0
2023-01-17,G (Feb 2023),0.0000,20.4000,20.4500,0.0000,20.325,0.050,0,0,0
2023-01-18,G (Feb 2023),0.0000,20.9500,20.3500,0.0000,20.20,-0.125,0,0,0
2023-01-19,G (Feb 2023),0.0000,21.7500,21.3500,0.0000,21.275,1.075,0,0,0
2023-01-20,G (Feb 2023),0.0000,21.0500,20.7000,0.0000,20.60,-0.675,0,0,0
2023-01-23,G (Feb 2023),20.1000,20.1500,20.1000,20.1000,20.075,-0.525,1,0,1
2023-01-24,G (Feb 2023),20.1500,20.1500,19.6500,19.6500,20.60,0.525,2,0,3
2023-01-25,G (Feb 2023),19.8500,20.4500,19.5000,19.8500,19.325,-1.275,1,0,2
2023-01-26,G (Feb 2023),0.0000,19.1500,19.2500,0.0000,19.125,-0.200,0,0,2
2023-01-27,G (Feb 2023),18.4000,18.9000,18.4000,18.7500,18.875,-0.250,8,0,7
2023-01-30,G (Feb 2023),19.5500,19.5500,19.5500,19.5500,19.675,0.800,10,0,17
2023-01-31,G (Feb 2023),0.0000,19.7000,19.4500,0.0000,19.075,-0.600,0,0,17
2023-02-01,G (Feb 2023),0.0000,19.0500,18.9000,0.0000,18.50,-0.575,0,0,17
2023-02-02,G (Feb 2023),0.0000,18.8500,18.4000,0.0000,18.875,0.375,0,0,17
2023-02-03,G (Feb 2023),0.0000,19.0000,19.5000,0.0000,19.175,0.300,0,0,17
2023-02-06,G (Feb 2023),0.0000,19.1500,19.7500,0.0000,19.475,0.300,0,0,17
2023-02-07,G (Feb 2023),0.0000,19.2000,19.4000,0.0000,18.75,-0.725,0,0,17
2023-02-08,G (Feb 2023),0.0000,18.3500,19.6000,0.0000,18.87,0.12,0,0,17
