Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2024-02-22,J (Apr 2024),0.0000,0.0000,0.0000,0.0000,15.0348,0,0,0,0
2024-02-23,J (Apr 2024),0.0000,0.0000,0.0000,0.0000,14.4301,-0.6047,0,0,0
2024-02-26,J (Apr 2024),0.0000,0.0000,0.0000,0.0000,14.575,0.1449,0,0,0
2024-02-27,J (Apr 2024),0.0000,4.5500,0.0000,0.0000,13.925,-0.650,0,0,0
2024-02-28,J (Apr 2024),0.0000,4.5500,0.0000,0.0000,14.35,0.425,0,0,0
2024-02-29,J (Apr 2024),0.0000,14.1000,15.6000,0.0000,14.85,0.50,0,0,0
2024-03-01,J (Apr 2024),0.0000,14.0000,15.7000,0.0000,14.875,0.025,0,0,0
2024-03-04,J (Apr 2024),0.0000,14.0000,15.5000,0.0000,14.75,-0.125,0,0,0
2024-03-05,J (Apr 2024),0.0000,13.0000,16.0000,0.0000,15.225,0.475,0,0,0
2024-03-06,J (Apr 2024),0.0000,13.1000,16.9500,0.0000,15.025,-0.200,0,0,0
2024-03-07,J (Apr 2024),0.0000,14.0000,15.2000,0.0000,14.925,-0.100,0,0,0
2024-03-08,J (Apr 2024),0.0000,13.0000,17.1500,0.0000,15.775,0.850,0,0,0
2024-03-11,J (Apr 2024),0.0000,14.0000,17.5500,0.0000,15.775,0.000,0,0,0
2024-03-12,J (Apr 2024),0.0000,4.6500,16.3000,0.0000,13.9606,-1.8144,0,0,0
2024-03-13,J (Apr 2024),0.0000,13.7000,15.2500,0.0000,15.10,1.1394,0,0,0
2024-03-14,J (Apr 2024),15.0000,15.4500,14.8000,15.4500,15.075,-0.025,2,0,2
2024-03-15,J (Apr 2024),15.4000,15.7000,15.3000,15.7000,15.275,0.200,5,0,3
2024-03-18,J (Apr 2024),0.0000,14.7000,15.3000,0.0000,14.925,-0.350,0,0,3
2024-03-19,J (Apr 2024),15.0000,15.1500,15.0000,15.0000,15.05,0.125,10,0,9
2024-03-20,J (Apr 2024),14.8000,14.8000,14.6000,14.6000,14.675,-0.375,2,0,12
2024-03-21,J (Apr 2024),14.5000,14.6000,14.5000,14.5000,14.55,-0.125,1,0,12
2024-03-22,J (Apr 2024),0.0000,14.5500,14.6000,0.0000,14.525,-0.025,0,0,12
2024-03-25,J (Apr 2024),0.0000,14.6000,14.6000,0.0000,14.50,-0.025,0,0,12
2024-03-26,J (Apr 2024),14.4000,14.5500,14.3500,14.5500,14.525,0.025,11,0,22
2024-03-27,J (Apr 2024),14.4500,14.4500,14.1000,14.3000,14.025,-0.500,2,0,23
2024-03-28,J (Apr 2024),0.0000,14.0500,14.2500,0.0000,14.15,0.125,0,0,23
2024-04-01,J (Apr 2024),14.2500,14.3500,14.0500,14.3500,14.075,-0.075,11,0,22
2024-04-02,J (Apr 2024),14.5500,15.2500,14.1500,14.6000,14.775,0.700,7,0,18
2024-04-03,J (Apr 2024),0.0000,14.4000,15.1000,0.0000,15.25,0.475,0,0,18
