Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2022-12-15,G (Feb 2023),0.0000,0.0000,0.0000,0.0000,24.80,0,0,0,0
2022-12-16,G (Feb 2023),0.0000,0.0000,0.0000,0.0000,25.35,0.55,0,0,0
2022-12-19,G (Feb 2023),0.0000,0.0000,0.0000,0.0000,24.45,-0.90,0,0,0
2022-12-20,G (Feb 2023),0.0000,0.0000,0.0000,0.0000,24.55,0.10,0,0,0
2022-12-21,G (Feb 2023),0.0000,0.0000,0.0000,0.0000,23.75,-0.80,0,0,0
2022-12-22,G (Feb 2023),0.0000,0.0000,0.0000,0.0000,25.00,1.25,0,0,0
2022-12-23,G (Feb 2023),0.0000,0.0000,0.0000,0.0000,24.05,-0.95,0,0,0
2022-12-27,G (Feb 2023),0.0000,0.0000,0.0000,0.0000,23.4524,-0.5976,0,0,0
2022-12-28,G (Feb 2023),0.0000,0.0000,0.0000,0.0000,23.90,0.4476,0,0,0
2022-12-29,G (Feb 2023),0.0000,0.0000,0.0000,0.0000,23.50,-0.40,0,0,0
2022-12-30,G (Feb 2023),0.0000,0.0000,24.9000,0.0000,23.50,0.00,0,0,0
2023-01-03,G (Feb 2023),0.0000,2.0000,0.0000,0.0000,23.35,-0.15,0,0,0
2023-01-04,G (Feb 2023),0.0000,22.8500,23.7000,0.0000,23.275,-0.075,0,0,0
2023-01-05,G (Feb 2023),0.0000,23.2000,23.5000,0.0000,23.175,-0.100,0,0,0
2023-01-06,G (Feb 2023),0.0000,22.8500,22.7500,0.0000,22.75,-0.425,0,0,0
2023-01-09,G (Feb 2023),0.0000,22.6500,22.8000,0.0000,22.85,0.10,0,0,0
2023-01-10,G (Feb 2023),0.0000,22.7500,22.2000,0.0000,21.825,-1.025,0,0,0
2023-01-11,G (Feb 2023),0.0000,21.7500,22.3000,0.0000,21.85,0.025,0,0,0
2023-01-12,G (Feb 2023),0.0000,21.5000,21.1000,0.0000,20.75,-1.10,0,0,0
2023-01-13,G (Feb 2023),0.0000,20.6000,20.8000,0.0000,20.475,-0.275,0,0,0
2023-01-17,G (Feb 2023),0.0000,20.5000,21.0000,0.0000,20.625,0.150,0,0,0
2023-01-18,G (Feb 2023),0.0000,21.1000,20.1000,0.0000,20.05,-0.575,0,0,0
2023-01-19,G (Feb 2023),0.0000,22.0000,21.8500,0.0000,21.65,1.60,0,0,0
2023-01-20,G (Feb 2023),0.0000,21.1000,21.2000,0.0000,20.95,-0.70,0,0,0
2023-01-23,G (Feb 2023),0.0000,20.2000,20.7000,0.0000,20.40,-0.55,0,0,0
2023-01-24,G (Feb 2023),21.0500,21.0500,20.1000,21.0500,20.975,0.575,2,0,2
2023-01-25,G (Feb 2023),20.0000,20.6500,20.0000,20.4000,19.60,-1.375,17,0,15
2023-01-26,G (Feb 2023),0.0000,19.3500,19.8000,0.0000,19.425,-0.175,0,0,15
2023-01-27,G (Feb 2023),0.0000,19.0000,19.1500,0.0000,19.15,-0.275,0,0,15
2023-01-30,G (Feb 2023),0.0000,19.8000,20.1000,0.0000,20.00,0.85,0,0,15
2023-01-31,G (Feb 2023),0.0000,19.9000,19.8000,0.0000,19.40,-0.60,0,0,15
2023-02-01,G (Feb 2023),0.0000,19.2500,20.0000,0.0000,19.56,0.16,0,0,15
