Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2023-02-09,H (Mar 2023),0.0000,0.0000,0.0000,0.0000,21.7857,0,0,0,0
2023-02-10,H (Mar 2023),0.0000,0.0000,0.0000,0.0000,22.0492,0.2635,0,0,0
2023-02-13,H (Mar 2023),0.0000,0.0000,0.0000,0.0000,21.2484,-0.8008,0,0,0
2023-02-14,H (Mar 2023),0.0000,0.0000,0.0000,0.0000,20.4267,-0.8217,0,0,0
2023-02-15,H (Mar 2023),0.0000,0.0000,0.0000,0.0000,20.0523,-0.3744,0,0,0
2023-02-16,H (Mar 2023),0.0000,0.0000,0.0000,0.0000,21.1605,1.1082,0,0,0
2023-02-17,H (Mar 2023),0.0000,0.0000,0.0000,0.0000,21.2482,0.0877,0,0,0
2023-02-21,H (Mar 2023),21.7000,21.7000,21.7000,21.7000,22.9011,1.6529,2,0,0
2023-02-22,H (Mar 2023),0.0000,0.0000,0.0000,0.0000,22.2109,-0.6902,0,0,0
2023-02-23,H (Mar 2023),0.0000,0.0000,0.0000,0.0000,21.3726,-0.8383,0,0,0
2023-02-24,H (Mar 2023),0.0000,20.0000,25.0000,0.0000,22.50,1.1274,0,0,0
2023-02-27,H (Mar 2023),0.0000,0.0000,0.0000,0.0000,21.3317,-1.1683,0,0,0
2023-02-28,H (Mar 2023),0.0000,0.0000,0.0000,0.0000,20.7757,-0.5560,0,0,0
2023-03-01,H (Mar 2023),0.0000,20.4000,21.2000,0.0000,21.65,0.8743,0,0,0
2023-03-02,H (Mar 2023),0.0000,0.0000,0.0000,0.0000,20.2009,-1.4491,0,0,0
2023-03-03,H (Mar 2023),0.0000,19.2500,19.5500,0.0000,19.225,-0.9759,0,0,0
2023-03-06,H (Mar 2023),0.0000,18.7500,19.1500,0.0000,18.875,-0.350,0,0,0
2023-03-07,H (Mar 2023),0.0000,19.0000,18.9000,0.0000,19.20,0.325,0,0,0
2023-03-08,H (Mar 2023),0.0000,18.9000,19.6500,0.0000,19.375,0.175,0,0,0
2023-03-09,H (Mar 2023),0.0000,20.9000,20.1500,0.0000,21.30,1.925,0,0,0
2023-03-10,H (Mar 2023),24.2500,25.8000,21.6000,24.2500,23.75,2.45,6,0,6
2023-03-13,H (Mar 2023),0.0000,26.7000,23.0000,0.0000,24.45,0.70,0,0,6
2023-03-14,H (Mar 2023),0.0000,24.2500,22.5000,0.0000,23.475,-0.975,0,0,6
2023-03-15,H (Mar 2023),26.1000,27.2000,23.6000,25.7000,25.25,1.775,16,0,22
2023-03-16,H (Mar 2023),23.0000,25.5500,23.0000,23.0000,22.70,-2.55,1,0,23
2023-03-17,H (Mar 2023),25.1500,25.3500,23.2000,24.9500,25.55,2.85,12,0,35
2023-03-20,H (Mar 2023),0.0000,27.2000,24.4500,0.0000,24.075,-1.475,0,0,35
2023-03-21,H (Mar 2023),0.0000,23.2500,22.1000,0.0000,21.60,-2.475,0,0,35
2023-03-22,H (Mar 2023),21.2500,22.5000,21.2500,21.2500,23.175,1.575,1,0,34
2023-03-23,H (Mar 2023),23.3000,24.4000,22.0000,23.2500,23.275,0.100,5,0,39
2023-03-24,H (Mar 2023),24.0500,25.0500,23.0000,24.8500,23.05,-0.225,2,0,40
2023-03-27,H (Mar 2023),0.0000,22.7500,21.2000,0.0000,20.85,-2.20,0,0,40
2023-03-28,H (Mar 2023),21.2000,21.4000,20.2000,21.4000,20.475,-0.375,3,0,40
2023-03-29,H (Mar 2023),0.0000,19.1000,19.5000,0.0000,19.13,-1.345,0,0,40
