Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2025-02-13,J (Apr 2025),0.0000,0.0000,0.0000,0.0000,17.2427,0,0,0,0
2025-02-14,J (Apr 2025),0.0000,0.0000,0.0000,0.0000,17.1818,-0.0609,0,0,0
2025-02-18,J (Apr 2025),0.0000,0.0000,0.0000,0.0000,17.1256,-0.0562,0,0,0
2025-02-19,J (Apr 2025),0.0000,13.5500,0.0000,0.0000,16.9066,-0.2190,0,0,0
2025-02-20,J (Apr 2025),0.0000,13.5500,0.0000,0.0000,17.0326,0.1260,0,0,0
2025-02-21,J (Apr 2025),0.0000,13.5500,0.0000,0.0000,18.3007,1.2681,0,0,0
2025-02-24,J (Apr 2025),0.0000,14.0500,0.0000,0.0000,18.4302,0.1295,0,0,0
2025-02-25,J (Apr 2025),0.0000,13.5500,0.0000,0.0000,18.4836,0.0534,0,0,0
2025-02-26,J (Apr 2025),0.0000,13.6000,0.0000,0.0000,18.1337,-0.3499,0,0,0
2025-02-27,J (Apr 2025),0.0000,13.5500,0.0000,0.0000,19.3063,1.1726,0,0,0
2025-02-28,J (Apr 2025),0.0000,13.5500,0.0000,0.0000,18.8291,-0.4772,0,0,0
2025-03-03,J (Apr 2025),0.0000,13.5500,21.0000,0.0000,20.6577,1.8286,0,0,0
2025-03-04,J (Apr 2025),0.0000,13.5500,0.0000,0.0000,21.2409,0.5832,0,0,0
2025-03-05,J (Apr 2025),0.0000,0.0000,0.0000,0.0000,20.1269,-1.1140,0,0,0
2025-03-06,J (Apr 2025),0.0000,15.5500,0.0000,0.0000,22.8281,2.7012,0,0,0
2025-03-07,J (Apr 2025),0.0000,14.1500,0.0000,0.0000,21.6254,-1.2027,0,0,0
2025-03-10,J (Apr 2025),0.0000,0.0000,0.0000,0.0000,24.9344,3.3090,0,0,0
2025-03-11,J (Apr 2025),0.0000,12.8500,0.0000,0.0000,24.6115,-0.3229,0,0,0
2025-03-12,J (Apr 2025),0.0000,12.8500,0.0000,0.0000,23.0749,-1.5366,0,0,0
2025-03-13,J (Apr 2025),0.0000,17.5500,0.0000,0.0000,24.4101,1.3352,0,0,0
2025-03-14,J (Apr 2025),0.0000,14.5500,0.0000,0.0000,21.5211,-2.8890,0,0,0
2025-03-17,J (Apr 2025),0.0000,12.8500,0.0000,0.0000,20.8352,-0.6859,0,0,0
2025-03-18,J (Apr 2025),0.0000,15.5500,24.0000,0.0000,20.4806,-0.3546,0,0,0
2025-03-19,J (Apr 2025),0.0000,13.5500,30.0000,0.0000,19.7513,-0.7293,0,0,0
2025-03-20,J (Apr 2025),0.0000,22.1000,34.8500,0.0000,19.4005,-0.3508,0,0,0
2025-03-21,J (Apr 2025),19.6000,20.1000,19.6000,20.1000,19.4179,0.0174,5,0,1
2025-03-24,J (Apr 2025),0.0000,14.5500,18.5500,0.0000,18.0635,-1.3544,0,0,1
2025-03-25,J (Apr 2025),0.0000,14.5500,0.0000,0.0000,18.2072,0.1437,0,0,1
2025-03-26,J (Apr 2025),18.5000,18.5000,17.2000,18.5000,18.8445,0.6373,2,0,2
2025-03-27,J (Apr 2025),18.8500,19.0000,18.8500,18.8500,18.9763,0.1318,1,0,1
2025-03-28,J (Apr 2025),0.0000,14.1500,21.0000,0.0000,20.9817,2.0054,0,0,1
2025-03-31,J (Apr 2025),0.0000,14.5500,25.0000,0.0000,20.8435,-0.1382,0,0,1
2025-04-01,J (Apr 2025),23.0000,23.0000,23.0000,23.0000,20.8794,0.0359,1,0,1
2025-04-02,J (Apr 2025),0.0000,14.5500,23.0000,0.0000,22.94,2.0606,0,0,1
