Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2024-07-11,Q (Aug 2024),0.0000,0.0000,0.0000,0.0000,14.1965,0,0,0,0
2024-07-12,Q (Aug 2024),0.0000,4.2000,0.0000,0.0000,14.0232,-0.1733,0,0,0
2024-07-15,Q (Aug 2024),0.0000,4.2000,0.0000,0.0000,14.219,0.1958,0,0,0
2024-07-16,Q (Aug 2024),0.0000,4.2000,0.0000,0.0000,14.3356,0.1166,0,0,0
2024-07-17,Q (Aug 2024),0.0000,4.2000,0.0000,0.0000,14.808,0.4724,0,0,0
2024-07-18,Q (Aug 2024),0.0000,4.2000,0.0000,0.0000,15.2934,0.4854,0,0,0
2024-07-19,Q (Aug 2024),0.0000,4.2000,0.0000,0.0000,15.9169,0.6235,0,0,0
2024-07-22,Q (Aug 2024),0.0000,4.2000,0.0000,0.0000,15.0439,-0.8730,0,0,0
2024-07-23,Q (Aug 2024),0.0000,4.2000,0.0000,0.0000,14.9323,-0.1116,0,0,0
2024-07-24,Q (Aug 2024),0.0000,4.2000,0.0000,0.0000,17.072,2.1397,0,0,0
2024-07-25,Q (Aug 2024),15.7000,17.4500,15.3500,17.4500,17.00,-0.072,3,0,1
2024-07-26,Q (Aug 2024),0.0000,15.8500,16.9000,0.0000,16.375,-0.625,0,0,1
2024-07-29,Q (Aug 2024),0.0000,16.1500,16.2500,0.0000,16.05,-0.325,0,0,1
2024-07-30,Q (Aug 2024),0.0000,16.6500,16.7000,0.0000,16.475,0.425,0,0,1
2024-07-31,Q (Aug 2024),0.0000,15.9000,16.2000,0.0000,16.225,-0.250,0,0,1
2024-08-01,Q (Aug 2024),0.0000,17.0500,16.5000,0.0000,17.75,1.525,0,0,1
2024-08-02,Q (Aug 2024),21.0000,21.0000,19.5000,21.0000,20.475,2.725,1,0,1
2024-08-05,Q (Aug 2024),0.0000,21.5000,0.0000,0.0000,32.0986,11.6236,0,0,1
2024-08-06,Q (Aug 2024),0.0000,22.0000,40.0000,0.0000,29.00,-3.0986,0,0,1
2024-08-07,Q (Aug 2024),0.0000,17.0000,35.0000,0.0000,25.0766,-3.9234,0,0,1
2024-08-08,Q (Aug 2024),0.0000,20.0000,0.0000,0.0000,22.6885,-2.3881,0,0,1
2024-08-09,Q (Aug 2024),0.0000,11.0000,0.0000,0.0000,19.4971,-3.1914,0,0,1
2024-08-12,Q (Aug 2024),0.0000,11.0000,0.0000,0.0000,19.4647,-0.0324,0,0,1
2024-08-13,Q (Aug 2024),0.0000,11.0000,0.0000,0.0000,17.5452,-1.9195,0,0,1
2024-08-14,Q (Aug 2024),0.0000,11.0000,0.0000,0.0000,16.2453,-1.2999,0,0,1
2024-08-15,Q (Aug 2024),0.0000,11.0000,0.0000,0.0000,15.3485,-0.8968,0,0,1
2024-08-16,Q (Aug 2024),0.0000,11.0000,0.0000,0.0000,15.2799,-0.0686,0,0,1
2024-08-19,Q (Aug 2024),0.0000,14.8500,15.3000,0.0000,15.075,-0.2049,0,0,1
2024-08-20,Q (Aug 2024),0.0000,15.3000,15.8500,0.0000,15.625,0.550,0,0,1
2024-08-21,Q (Aug 2024),0.0000,16.1500,16.7000,0.0000,16.675,1.050,0,0,1
2024-08-22,Q (Aug 2024),17.7000,17.7000,17.0500,17.7000,17.70,1.025,1,0,0
2024-08-23,Q (Aug 2024),0.0000,11.6000,18.0000,0.0000,15.9286,-1.7714,0,0,0
2024-08-26,Q (Aug 2024),0.0000,16.0000,16.4500,0.0000,16.30,0.3714,0,0,0
2024-08-27,Q (Aug 2024),15.7000,16.3500,15.7000,15.7000,15.80,-0.50,1,0,1
2024-08-28,Q (Aug 2024),0.0000,15.5500,0.0000,0.0000,15.70,-0.10,0,0,1
