Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2025-02-06,H (Mar 2025),0.0000,0.0000,0.0000,0.0000,17.4335,0,0,0,0
2025-02-07,H (Mar 2025),0.0000,14.7500,0.0000,0.0000,17.9512,0.5177,0,0,0
2025-02-10,H (Mar 2025),0.0000,14.7500,0.0000,0.0000,17.5244,-0.4268,0,0,0
2025-02-11,H (Mar 2025),0.0000,14.5500,0.0000,0.0000,17.5614,0.0370,0,0,0
2025-02-12,H (Mar 2025),0.0000,14.5500,0.0000,0.0000,17.4799,-0.0815,0,0,0
2025-02-13,H (Mar 2025),0.0000,13.0500,0.0000,0.0000,17.2427,-0.2372,0,0,0
2025-02-14,H (Mar 2025),0.0000,7.5000,20.6500,0.0000,17.1818,-0.0609,0,0,0
2025-02-18,H (Mar 2025),0.0000,7.5000,0.0000,0.0000,17.1256,-0.0562,0,0,0
2025-02-19,H (Mar 2025),0.0000,12.5500,20.9000,0.0000,16.9066,-0.2190,0,0,0
2025-02-20,H (Mar 2025),0.0000,13.0500,0.0000,0.0000,17.0326,0.1260,0,0,0
2025-02-21,H (Mar 2025),0.0000,17.6500,20.8500,0.0000,18.3007,1.2681,0,0,0
2025-02-24,H (Mar 2025),0.0000,17.8500,22.0000,0.0000,18.4302,0.1295,0,0,0
2025-02-25,H (Mar 2025),0.0000,18.3000,22.0000,0.0000,18.4836,0.0534,0,0,0
2025-02-26,H (Mar 2025),0.0000,17.0000,20.9500,0.0000,18.1337,-0.3499,0,0,0
2025-02-27,H (Mar 2025),0.0000,18.0000,21.0000,0.0000,19.3063,1.1726,0,0,0
2025-02-28,H (Mar 2025),0.0000,18.2000,22.0000,0.0000,18.8291,-0.4772,0,0,0
2025-03-03,H (Mar 2025),0.0000,18.0000,21.0000,0.0000,20.6577,1.8286,0,0,0
2025-03-04,H (Mar 2025),0.0000,19.0000,22.0000,0.0000,21.2409,0.5832,0,0,0
2025-03-05,H (Mar 2025),0.0000,20.0000,24.0000,0.0000,20.1269,-1.1140,0,0,0
2025-03-06,H (Mar 2025),20.0000,21.5000,20.0000,21.5000,22.8281,2.7012,4,0,2
2025-03-07,H (Mar 2025),0.0000,20.0000,25.0000,0.0000,21.6254,-1.2027,0,0,2
2025-03-10,H (Mar 2025),0.0000,22.0000,26.0000,0.0000,24.9344,3.3090,0,0,2
2025-03-11,H (Mar 2025),0.0000,23.0000,26.0000,0.0000,24.6115,-0.3229,0,0,2
2025-03-12,H (Mar 2025),0.0000,20.0000,26.0000,0.0000,23.0749,-1.5366,0,0,2
2025-03-13,H (Mar 2025),0.0000,21.5000,26.0000,0.0000,24.4101,1.3352,0,0,2
2025-03-14,H (Mar 2025),0.0000,20.0000,25.0000,0.0000,21.5211,-2.8890,0,0,2
2025-03-17,H (Mar 2025),0.0000,7.5000,0.0000,0.0000,20.8352,-0.6859,0,0,2
2025-03-18,H (Mar 2025),0.0000,15.1500,24.0000,0.0000,20.4806,-0.3546,0,0,2
2025-03-19,H (Mar 2025),0.0000,13.1500,30.1500,0.0000,19.7513,-0.7293,0,0,2
2025-03-20,H (Mar 2025),0.0000,14.1500,35.0000,0.0000,19.4005,-0.3508,0,0,2
2025-03-21,H (Mar 2025),0.0000,19.4000,30.3000,0.0000,19.4179,0.0174,0,0,2
2025-03-24,H (Mar 2025),18.9500,18.9500,18.9500,18.9500,18.0635,-1.3544,1,0,3
2025-03-25,H (Mar 2025),0.0000,17.0000,20.0000,0.0000,18.2072,0.1437,0,0,3
2025-03-26,H (Mar 2025),0.0000,13.1500,0.0000,0.0000,17.00,-1.2072,0,0,3
